is_rain_falling,is_drought,political_issues,soil_moisture,market_demand,soil_type,pest_infestation,season,crop
Yes,No,No,High,High,Loamy,None,Kharif,Rice
No,Yes,Yes,Low,Low,Sandy,Moderate,Rabi,Wheat
No,No,No,Medium,High,Clay,Low,Summer,Maize
Yes,No,Yes,High,Medium,Alluvial,High,Kharif,Cotton
No,No,No,Low,Medium,Loamy,None,Rabi,Barley
Yes,No,No,High,High,Sandy,None,Kharif,Sorghum
No,Yes,No,Low,Low,Clay,Moderate,Rabi,Chickpea
Yes,No,No,Medium,High,Alluvial,Low,Summer,Millet
No,No,Yes,Medium,Medium,Loamy,High,Kharif,Pigeonpea
Yes,No,No,High,High,Loamy,None,Kharif,Sugarcane
No,Yes,Yes,Low,Low,Sandy,Moderate,Rabi,Groundnut
Yes,No,No,Medium,Medium,Clay,None,Kharif,Sunflower
No,No,No,High,High,Alluvial,Low,Rabi,Mustard
Yes,Yes,No,Low,Medium,Loamy,Moderate,Summer,Jute
No,No,Yes,High,High,Sandy,High,Kharif,Tea
Yes,No,No,Medium,Medium,Clay,None,Rabi,Coffee
No,No,No,Low,High,Alluvial,Low,Summer,Maize
Yes,No,Yes,Medium,Medium,Loamy,Moderate,Kharif,Soybean
No,Yes,No,High,Low,Clay,High,Rabi,Lentil
Yes,No,No,Medium,High,Sandy,None,Summer,Peanut
No,No,Yes,Low,Medium,Loamy,Low,Kharif,Rice
Yes,No,No,High,High,Alluvial,High,Kharif,Maize
No,Yes,No,Medium,Low,Clay,Moderate,Rabi,Wheat
Yes,No,No,Low,High,Sandy,None,Summer,Corn
No,No,Yes,High,Medium,Loamy,High,Kharif,Cotton
Yes,Yes,No,Low,Low,Alluvial,None,Rabi,Barley
No,No,No,Medium,High,Clay,Low,Summer,Sorghum
Yes,No,Yes,High,Medium,Loamy,Moderate,Kharif,Groundnut
No,No,Yes,Low,High,Sandy,High,Rabi,Sunflower
Yes,No,No,Medium,Medium,Clay,None,Kharif,Mustard
No,Yes,No,High,Low,Alluvial,Moderate,Rabi,Chickpea
Yes,No,Yes,Low,High,Loamy,None,Summer,Millet
No,No,Yes,Medium,Medium,Sandy,High,Kharif,Tea
Yes,No,No,High,High,Clay,None,Kharif,Coffee
No,Yes,Yes,Low,Low,Alluvial,Low,Rabi,Jute
Yes,No,No,Medium,Medium,Loamy,Moderate,Summer,Maize
No,No,Yes,High,High,Sandy,High,Kharif,Soybean
Yes,No,No,Low,High,Clay,None,Rabi,Lentil
No,Yes,Yes,Medium,Low,Alluvial,Moderate,Summer,Peanut
Yes,No,No,High,High,Loamy,None,Kharif,Rice
No,No,Yes,Low,Medium,Sandy,High,Rabi,Wheat
Yes,Yes,No,Medium,High,Clay,None,Summer,Corn
No,No,No,High,Medium,Alluvial,Low,Kharif,Cotton
Yes,No,Yes,Low,High,Loamy,Moderate,Rabi,Barley
No,Yes,No,Medium,Low,Sandy,None,Summer,Sorghum
Yes,No,No,High,High,Clay,High,Kharif,Groundnut
No,No,No,Medium,Medium,Loamy,None,Summer,Ragi
Yes,Yes,Yes,Low,Low,Alluvial,Moderate,Kharif,Chili
No,No,Yes,High,High,Sandy,High,Rabi,Pea
Yes,No,No,Low,Medium,Clay,None,Summer,Tobacco
No,Yes,No,High,Medium,Loamy,Low,Kharif,Banana
Yes,No,No,Medium,High,Alluvial,High,Rabi,Mustard
No,No,Yes,Low,High,Sandy,Moderate,Summer,Turmeric
Yes,No,No,High,High,Clay,None,Kharif,Mango
No,Yes,Yes,Medium,Low,Loamy,Moderate,Rabi,Papaya
Yes,No,No,Low,High,Sandy,High,Summer,Coconut
No,No,No,High,Medium,Clay,None,Kharif,Tomato
Yes,Yes,No,Low,Medium,Alluvial,Moderate,Rabi,Onion
No,No,Yes,High,High,Loamy,Low,Kharif,Cauliflower
Yes,No,No,Medium,High,Sandy,None,Rabi,Cabbage
No,Yes,No,Low,Medium,Clay,Moderate,Summer,Carrot
Yes,No,No,High,High,Alluvial,None,Kharif,Coriander
No,No,Yes,Medium,Low,Sandy,High,Rabi,Cumin
Yes,Yes,No,Low,High,Loamy,Low,Kharif,Grapes
No,No,No,High,Medium,Clay,None,Summer,Guava
Yes,No,No,Medium,High,Sandy,Moderate,Rabi,Apple
No,Yes,Yes,Low,Medium,Alluvial,None,Summer,Cashew
Yes,No,No,High,High,Loamy,None,Kharif,Rubber
No,No,No,Medium,Medium,Sandy,High,Rabi,Saffron
Yes,Yes,Yes,Low,Low,Clay,None,Kharif,Vanilla
