is_rain_falling,is_drought,political_issues,temperature,soil_moisture,market_demand,soil_type,fertilizer_availability,pest_infestation,season,crop
Yes,No,No,25,Medium,High,Loamy,Yes,No,Spring,Rice
No,Yes,No,35,Low,Low,Sandy,No,Yes,Summer,Millet
No,No,Yes,30,High,Medium,Clay,Yes,No,Winter,Wheat
Yes,No,No,22,High,High,Loamy,Yes,No,Spring,Rice
No,Yes,Yes,40,Low,Low,Sandy,No,Yes,Summer,Sorghum
Yes,No,No,20,Medium,High,Clay,Yes,No,Spring,Barley
No,No,No,30,High,Medium,Loamy,Yes,No,Winter,Wheat
Yes,No,No,28,Medium,High,Loamy,Yes,No,Spring,Corn
No,Yes,Yes,37,Low,Low,Sandy,No,Yes,Summer,Cassava
Yes,No,No,18,High,High,Clay,Yes,No,Winter,Oats
No,No,No,32,Medium,Medium,Loamy,Yes,No,Fall,Soybean
Yes,No,No,27,High,High,Loamy,Yes,No,Spring,Maize
No,Yes,No,38,Low,Low,Sandy,No,Yes,Summer,Pearl Millet
Yes,No,Yes,25,Medium,Medium,Loamy,Yes,No,Fall,Chickpea
No,No,No,15,High,High,Clay,Yes,No,Winter,Barley
Yes,No,No,20,High,High,Loamy,Yes,No,Spring,Wheat
No,No,No,25,Medium,Medium,Clay,Yes,Yes,Spring,Corn
No,No,No,18,High,High,Loamy,Yes,No,Winter,Barley
Yes,No,No,24,Medium,High,Sandy,Yes,No,Spring,Rice
No,Yes,Yes,35,Low,Low,Sandy,No,Yes,Summer,Sorghum
Yes,No,No,30,High,High,Clay,Yes,No,Winter,Wheat
No,No,No,22,Medium,Medium,Loamy,Yes,No,Spring,Peanut
No,Yes,No,40,Low,Low,Sandy,No,Yes,Summer,Sunflower
Yes,No,No,18,High,High,Clay,Yes,No,Winter,Oats
No,No,No,32,Medium,Medium,Loamy,Yes,No,Fall,Canola
Yes,No,No,27,High,High,Loamy,Yes,No,Spring,Maize
No,Yes,No,38,Low,Low,Sandy,No,Yes,Summer,Groundnut
Yes,No,Yes,25,Medium,Medium,Loamy,Yes,No,Fall,Chickpea
No,No,No,15,High,High,Clay,Yes,No,Winter,Rye
Yes,No,No,23,Medium,High,Loamy,Yes,No,Spring,Soybean
No,Yes,Yes,36,Low,Low,Sandy,No,Yes,Summer,Cassava
No,No,No,28,High,Medium,Clay,Yes,No,Fall,Barley
Yes,No,No,20,High,High,Loamy,Yes,No,Spring,Rice
No,No,No,25,Medium,Medium,Clay,Yes,Yes,Spring,Corn
Yes,No,No,19,High,High,Loamy,Yes,No,Winter,Wheat
No,Yes,No,39,Low,Low,Sandy,No,Yes,Summer,Sorghum
Yes,No,No,31,High,High,Clay,Yes,No,Winter,Oats
No,No,No,21,Medium,Medium,Loamy,Yes,No,Spring,Peanut
Yes,No,No,29,High,High,Loamy,Yes,No,Spring,Maize
No,Yes,No,37,Low,Low,Sandy,No,Yes,Summer,Groundnut
Yes,No,Yes,26,Medium,Medium,Loamy,Yes,No,Fall,Lentil
No,No,No,16,High,High,Clay,Yes,No,Winter,Barley
Yes,No,No,24,Medium,High,Loamy,Yes,No,Spring,Soybean
No,Yes,Yes,35,Low,Low,Sandy,No,Yes,Summer,Cassava
Yes,No,No,28,High,High,Clay,Yes,No,Winter,Rye
No,No,No,23,Medium,Medium,Loamy,Yes,No,Fall,Peanut
Yes,No,No,21,High,High,Loamy,Yes,No,Spring,Wheat
No,Yes,No,36,Low,Low,Sandy,No,Yes,Summer,Sunflower
Yes,No,No,30,High,High,Clay,Yes,No,Winter,Oats
No,No,No,22,Medium,Medium,Loamy,Yes,No,Spring,Peanut
Yes,No,No,27,High,High,Loamy,Yes,No,Spring,Maize
No,Yes,No,38,Low,Low,Sandy,No,Yes,Summer,Groundnut
Yes,No,Yes,25,Medium,Medium,Loamy,Yes,No,Fall,Lentil
No,No,No,17,High,High,Clay,Yes,No,Winter,Barley
Yes,No,No,23,Medium,High,Loamy,Yes,No,Spring,Soybean
No,Yes,Yes,37,Low,Low,Sandy,No,Yes,Summer,Cassava
No,No,No,27,High,Medium,Clay,Yes,No,Fall,Barley
Yes,No,No,21,High,High,Loamy,Yes,No,Spring,Rice
No,No,No,26,Medium,Medium,Clay,Yes,Yes,Spring,Corn
Yes,No,No,20,High,High,Loamy,Yes,No,Winter,Wheat
No,Yes,No,39,Low,Low,Sandy,No,Yes,Summer,Sorghum
Yes,No,No,32,High,High,Clay,Yes,No,Winter,Oats
No,No,No,22,Medium,Medium,Loamy,Yes,No,Spring,Peanut
Yes,No,No,28,High,High,Loamy,Yes,No,Spring,Maize
No,Yes,No,37,Low,Low,Sandy,No,Yes,Summer,Groundnut
Yes,No,Yes,26,Medium,Medium,Loamy,Yes,No,Fall,Lentil
No,No,No,16,High,High,Clay,Yes,No,Winter,Barley
